generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774000609-l4EdLcoTs4RTIJBs8bFr,2026-03-20 09:56:49.341,2.056243,,,0,0,342381,87,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,7329,6672,ClifPad,clif key
gen-1774000595-SXVKvBaHCToXyNjUWBHZ,2026-03-20 09:56:35.870,4.033639,,,0,0,671902,99,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,13223,12526,ClifPad,clif key
gen-1774000581-SA9aRHCoHI1XkKVgNwu5,2026-03-20 09:56:21.501,4.033099,,,0,0,671782,107,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,13933,12591,ClifPad,clif key
gen-1774000573-JECEl7EwLBVCJjjMXosr,2026-03-20 09:56:13.351,2.056926,,,0,0,342476,92,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,7864,6861,ClifPad,clif key
gen-1774000565-4Ir55I6TWlvXf30OdZ5M,2026-03-20 09:56:05.141,1.994898,,,0,0,332123,96,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,7677,5589,ClifPad,clif key
gen-1774000563-RaB0M1zEu5M1MvqBSYeA,2026-03-20 09:56:03.260,0.114831,,,0,0,37817,92,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1639,1112,ClifPad,clif key
gen-1774000560-3DMz6oj5TXKv3aNpqyGd,2026-03-20 09:56:00.241,0.114678,,,0,0,37681,109,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2610,1299,ClifPad,clif key
gen-1774000558-wB84YR2LyFH6A8fs0mD8,2026-03-20 09:55:58.647,0.113142,,,0,0,37309,81,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1539,1116,ClifPad,clif key
gen-1774000556-xhzyYy06bYkcum4alUwf,2026-03-20 09:55:56.057,0.111639,,,0,0,36808,81,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2543,2060,ClifPad,clif key
gen-1774000553-InIfo7t66T78KF0Govhy,2026-03-20 09:55:53.340,0.111405,,,0,0,36695,88,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2565,1111,ClifPad,clif key
gen-1774000551-VByb3mSBbPLDfxfz0eiX,2026-03-20 09:55:51.063,0.101502,,,0,0,33399,87,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2184,1710,ClifPad,clif key
